,Date,Sentiment
0,2021-06-29 11:00:14,1.0
1,2021-06-28 11:00:14,0.0
2,2021-06-25 11:00:19,0.0
3,2021-06-24 11:00:18,0.0
4,2021-06-23 11:00:13,0.0
5,2021-06-22 11:00:18,0.0
6,2021-06-21 11:00:16,0.0
7,2021-06-18 11:00:18,1.0
8,2021-06-17 11:00:16,-12.0
9,2021-06-16 11:00:12,0.0
10,2021-06-15 11:00:13,2.0
11,2021-06-11 11:00:12,1.0
12,2021-06-10 11:00:14,2.0
13,2021-06-09 11:00:18,0.0
14,2021-06-08 11:00:14,0.0
15,2021-06-07 11:00:13,0.0
16,2021-06-04 11:00:13,0.0
17,2021-06-02 11:00:15,5.0
18,2021-06-01 11:00:13,3.0
19,2021-05-28 11:00:21,-3.0
20,2021-05-27 11:00:16,4.0
21,2021-05-26 11:00:19,8.0
22,2021-05-20 11:00:12,2.0
23,2021-05-18 11:00:12,-4.0
24,2021-05-12 11:00:13,-1.0
25,2021-05-07 11:00:15,2.0
26,2021-05-06 11:00:11,-3.0
27,2021-05-05 11:00:16,0.0
28,2021-05-04 11:00:18,-4.0
29,2021-04-26 11:00:16,0.0
30,2021-04-20 11:00:11,-4.0
31,2021-04-19 11:00:23,0.0
32,2021-04-15 11:00:13,-5.0
33,2021-04-13 11:00:13,0.0
34,2021-04-08 11:00:18,-2.0
35,2021-04-07 11:00:22,1.0
36,2021-04-06 11:00:14,3.0
37,2021-04-05 11:00:16,-1.0
38,2021-03-31 11:00:13,0.0
39,2021-03-25 10:00:14,-1.0
40,2021-03-23 10:00:13,-4.0
41,2021-03-22 10:00:13,0.0
42,2021-03-18 10:00:20,4.0
43,2021-03-17 10:00:13,0.0
44,2021-03-16 10:00:12,1.0
45,2021-03-15 10:00:13,12.0
46,2021-03-12 11:00:17,4.0
47,2021-03-11 11:00:19,0.0
48,2021-03-09 11:00:16,-2.0
49,2021-03-02 11:00:15,-4.0
50,2021-03-01 11:00:17,0.0
51,2021-02-24 11:00:22,0.0
52,2021-02-23 11:00:12,-4.0
53,2021-02-22 11:00:18,-6.0
54,2021-02-19 11:00:16,1.0
55,2021-02-18 11:00:15,0.0
56,2021-02-17 11:00:19,10.0
57,2021-02-16 11:00:18,1.0
58,2021-02-12 11:00:24,-18.0
59,2021-02-11 11:00:23,-46.0
60,2021-02-10 11:00:14,-34.0
61,2021-02-09 11:00:15,-41.0
62,2021-02-08 11:00:19,12.0
63,2021-02-05 11:00:16,-2.0
64,2021-02-03 11:00:10,0.0
65,2021-01-28 11:00:15,0.0
66,2021-01-27 19:39:07,0.0
